Mass [Msun]          H-1               He-4            C-12             N-14              O-16             Si-28            Ni-56            
   1.677749E+00     2.091618E-13     6.888064E-12     1.159543E-05     2.222620E-13     4.043836E-04     5.175136E-01     7.292291E-05  
   1.678425E+00     1.545478E-13     5.840404E-12     1.211002E-05     2.354896E-13     4.294253E-04     5.231362E-01     6.197555E-05  
   1.679328E+00     1.150387E-13     5.015229E-12     1.275532E-05     2.521747E-13     4.612364E-04     5.284256E-01     5.266724E-05  
   1.680004E+00     1.000660E-13     4.691526E-12     1.317728E-05     2.630357E-13     4.821039E-04     5.307566E-01     4.868090E-05  
   1.680456E+00     8.832315E-14     4.414197E-12     1.365996E-05     2.758145E-13     5.066973E-04     5.326841E-01     4.533185E-05  
   1.681234E+00     6.897453E-14     3.914098E-12     1.514681E-05     3.169332E-13     5.859922E-04     5.359424E-01     3.920375E-05  
   1.682062E+00     6.067821E-14     3.701088E-12     1.648232E-05     3.555656E-13     6.608609E-04     5.371594E-01     3.620686E-05  
   1.682615E+00     5.410753E-14     3.508783E-12     1.812841E-05     4.066229E-13     7.600934E-04     5.379777E-01     3.360160E-05  
   1.683167E+00     4.878585E-14     3.340280E-12     2.020202E-05     4.759996E-13     8.956859E-04     5.384164E-01     3.123935E-05  
   1.683719E+00     4.454681E-14     3.191179E-12     2.272480E-05     5.683239E-13     1.077660E-03     5.385024E-01     2.907772E-05  
   1.684548E+00     3.927687E-14     2.953442E-12     2.831539E-05     8.075275E-13     1.556248E-03     5.379063E-01     2.561788E-05  
   1.685349E+00     3.787093E-14     2.871001E-12     3.168889E-05     9.747213E-13     1.896107E-03     5.371601E-01     2.406993E-05  
   1.685846E+00     3.708455E-14     2.779989E-12     3.521524E-05     1.173348E-12     2.304347E-03     5.363039E-01     2.260005E-05  
   1.686591E+00     3.717846E-14     2.617434E-12     4.198007E-05     1.628558E-12     3.255823E-03     5.345075E-01     2.008178E-05  
   1.687336E+00     3.831315E-14     2.540928E-12     4.625144E-05     1.967048E-12     3.976284E-03     5.331618E-01     1.872381E-05  
   1.687832E+00     3.987190E-14     2.456853E-12     5.030317E-05     2.336496E-12     4.772608E-03     5.318684E-01     1.746939E-05  
   1.688577E+00     4.395744E-14     2.294705E-12     5.760850E-05     3.137879E-12     6.530668E-03     5.293275E-01     1.535219E-05  
   1.689482E+00     4.922727E-14     2.139544E-12     6.455172E-05     4.081410E-12     8.645426E-03     5.266030E-01     1.352533E-05  
   1.690093E+00     5.236291E-14     2.059916E-12     6.812795E-05     4.644179E-12     9.926199E-03     5.250808E-01     1.264851E-05  
   1.690501E+00     5.537765E-14     1.974383E-12     7.137441E-05     5.222440E-12     1.125395E-02     5.236608E-01     1.184189E-05  
   1.691112E+00     6.105176E-14     1.810629E-12     7.699177E-05     6.389622E-12     1.396773E-02     5.209711E-01     1.048519E-05  
